round,accuracy,loss
1,0.9710840453120713,0.004032716744368438
2,0.9718498473485572,0.006279372738098987
3,0.9569376604496383,0.005496731573992279
4,0.9259715691302436,0.00751313376847598
5,0.9692381306793276,0.005899349436046756
6,0.968675918440958,0.006370244429313815
7,0.971235178042224,0.006722251992678605
8,0.9623666237540623,0.005936189049299209
9,0.9714657449330677,0.006716147197084484
10,0.9711399186453463,0.00669797941450743
11,0.9321137783745383,0.006364739508303307
12,0.9696409922732704,0.006429884745960155
13,0.972076319576978,0.007625734493862697
14,0.9714123230475201,0.0070219825532367745
15,0.9711776140749008,0.006911992863829417
16,0.9694226790584375,0.005720440100277015
17,0.971555684539299,0.007954094186358252
18,0.9715420303197448,0.008054374539084268
19,0.9681197698142308,0.006295817879585134
20,0.9499763240272765,0.006443292490680325
21,0.9582675094322318,0.008305651114742442
22,0.9546422784114118,0.007343867497919911
23,0.9692715620774345,0.007499271965944564
24,0.9687454073189371,0.006091377316912498
25,0.9656856581448229,0.005047581467920625
26,0.9695505615460818,0.0056470431733582505
27,0.9643013675106216,0.004701689873257995
28,0.9656009738315177,0.005585772188576242
29,0.9690567020282138,0.006585444470751529
30,0.9631911490981258,0.006411200511084217
31,0.9710875644404307,0.007245005944376688
32,0.9710149200357684,0.007856299032159146
33,0.9646454057591366,0.006225301402878395
34,0.9718050511671918,0.007910461432241878
35,0.9698498969610503,0.0059179098335640735
36,0.9703463588450914,0.006960856174720087
37,0.9704213137079575,0.006321610755037348
38,0.967133617923954,0.006006847454597178
39,0.969489579860054,0.006854082007436762
40,0.9361499037206936,0.0065184600572786725
41,0.9673843173927335,0.006153102170867099
42,0.9708132273923037,0.006578547603730169
43,0.969714019089532,0.006443799681796971
44,0.971909141478423,0.007196196005633962
45,0.9717772844254734,0.006555095165761881
46,0.9701109475578099,0.00575735773502114
47,0.928923947066873,0.007416875873594064
48,0.9229842028802202,0.00742594301174461
49,0.9647230063542485,0.006515614436644585
50,0.9696462383092396,0.006595260089327366
