round,accuracy,loss
1,0.9690563421244224,0.0035989284369861707
2,0.9691644106282453,0.005043021054007113
3,0.9691565119836528,0.006081073428504169
4,0.969172309272838,0.006925777241121978
5,0.9691646259487247,0.00787243340164423
6,0.9690943876828111,0.007385438308119774
7,0.969118454678767,0.007637981412699446
8,0.9690061845626365,0.008154190698405728
9,0.9690943696399181,0.008539837843272835
10,0.9686722318904327,0.008119465142954141
11,0.968777165405339,0.010303573973942548
12,0.9691255633667202,0.01063388999318704
13,0.9690484254369369,0.010766162944491953
14,0.9692171248601785,0.010534482134971768
15,0.9691105442876773,0.012133208743762225
16,0.9688244813438104,0.011133827094454318
17,0.9690134670351815,0.01365173701196909
18,0.9688169331047163,0.013149332080502063
19,0.9690729293702471,0.013816219754517078
20,0.9688570844584593,0.012764206330757588
21,0.9686790047556993,0.012181962956674397
22,0.9687245300642193,0.015306495130062103
23,0.9678670433876576,0.014609934762120247
24,0.9688384464671567,0.015250213211402297
25,0.9688404108816999,0.014598156441934407
26,0.9689698171958797,0.01565183699131012
27,0.9682983336288049,0.015338296419940889
28,0.9690068331378606,0.016271379543468356
29,0.9690733419683125,0.013467901037074625
30,0.9690933228269122,0.016218448523432016
31,0.9686394780607367,0.013995206216350198
32,0.968654414068005,0.016031984938308597
33,0.9684669284772978,0.016006537014618516
34,0.9686102321972533,0.01539814833085984
35,0.9691257786871995,0.017960592871531844
36,0.9688326166109352,0.018077456625178456
37,0.9688271374360358,0.017237979103811085
38,0.9684016791665445,0.016876050853170455
39,0.9685889196473825,0.017720331205055118
40,0.9678674593702978,0.01665079442318529
41,0.9679377820526325,0.017088484717532992
42,0.967974835425046,0.016495084506459534
43,0.9679655862721143,0.01797426154371351
44,0.9666347654596564,0.016638414352200925
45,0.9687507150254762,0.017550963442772627
46,0.9691145193313603,0.019870916847139597
47,0.9691662926163876,0.017824044916778803
48,0.9694416946815128,0.018921381095424294
49,0.9692031717058577,0.01890119560994208
50,0.969083922737009,0.019013159559108317
